formula,max_PV_efficiency
Mo2CFOH,24.13050749
BiTeBr,24.14592918
ICrSe,24.18747933
MoTeSe,24.20291327
GaGeSe,24.21671805
SMoAsSiP,24.21671805
SbISe,24.21822305
Ga2STe,24.23340835
Ge2PAs,24.23340835
BAsS,24.23340835
ZrIBr,24.25101262
MoTeS,24.27082513
BiTeF,24.29285381
SHfGeP2,24.30108543
Sc2COHCl,24.3074576
Bi2Te2S,24.3074576
Nb3TeBr7,24.3074576
Y2CHOH,24.32188996
ITiCl,24.35743566
Zn2SeTe,24.37835138
Pd4P4S2Te2,24.37835138
Pb2I2S,24.39899875
BiTeCl,24.44151196
TeMoGeN2,24.44605329
Ga2Ge2STe,24.45621388
SHfSiP2,24.45621388
PdTiS2,24.46573601
Bi2Se2S,24.51052698
WSSnN2,24.52703992
TeICr,24.52703992
BiISe,24.56739816
TeGe2S,24.56739816
TeCuGeBr,24.57173618
SPdGeAs2,24.59341746
InGaTe2,24.61832876
CrOFH,24.62964466
Pb2STe,24.62964466
Sn2TeSe,24.6553794
Sn2PAs,24.6553794
Pb2SeTe,24.6553794
SnSSe,24.68421627
PbI,24.71295881
SMoPGeN,24.71295881
ZrSeS,24.71534251
CrSeS,24.71847699
MoSeO,24.72544674
Y2COSe,24.7354149
InAlSeTe2,24.7354149
In2TeSSe,24.76618892
TeIAs,24.77392105
Bi2SSeTe,24.78320453
PbTe,24.78320453
WTeSe,24.81460965
Sc2COHH,24.82754919
MnCrNO2,24.82754919
SnBr2S2,24.82754919
AlInSTe2,24.85973485
HfTiCO2,24.86841299
MoSSiP2,24.87229433
Mo2COHO,24.87721126
SnSeS,24.88377583
BiIS,24.89124554
Zn2STe,24.90011783
TeWSiP2,24.90011783
SeMoPAlS,24.90576009
Cr2Cl3S3,24.90576009
CrSSiN2,24.90576009
AlInSeTe2,24.93628582
Bi2Te2Se,24.93955474
Sc2CClI,24.95279979
Ti2CO2,24.95279979
HfICl,24.95279979
TiBrCl,24.95911365
TeWPGaS,24.96827274
Si2SSe,24.96827274
HfFeCO2,24.96976126
AgBiP2Te3Se3,24.96976126
PbGeSeS,24.97705859
MoTeSiN2,24.98350784
SbTeI,24.99131909
TeWPAlS,24.99611262
CrSiCN4,24.99634404
AgBiP2Te3S3,24.99634404
SeMoPGaS,24.99634404
PdPSeO,24.99634404
ICrS,25.00122262
ZrICl,25.01315133
Zr4Se4S2Cl4,25.01315133
HfTiCO2,25.01926757
PSbC,25.01926757
Si2SeTe,25.01983962
RhISe,25.02934602
TeCrBr,25.03401971
SeWPAlS,25.03849638
Sn2TeS,25.03948802
BSbTe,25.03948802
Sb2S2Te,25.04293129
CdInGaS4,25.05509222
ZrSSe,25.05509222
TiSeS,25.05773079
PSb,25.06572851
SeWPGaS,25.06572851
Nb3TeI7,25.06572851
 In2Ge2Se3Te3,25.07168265
ZnGeSe2,25.07366136
GaGeTe,25.07366136
Ga2Ge2SeTe,25.07366136
Bi2Se2Te,25.07366136
Pb2SSe,25.07366136
TeMoSiP2,25.07366136
Sc2COHF,25.0743061
HfBrCl,25.07485075
Sc2CFI,25.0765822
TeMoPAlS,25.07775857
ZrTiCO2,25.07798512
TeMoPGaS,25.07798512
Si2STe,25.07798512
